title,slug,parent_title,parent_slug,image_filename,midjourney_prompt
"Boxes, crates and totes",boxes-crates-and-totes,Moving and storage,moving-and-storage,moving-and-storage-boxes-crates-and-totes.png,"Boxes, crates and totes: Archive box bundle, Book boxes, and Bottle divider boxes in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Dollies, skates and lifters",dollies-skates-and-lifters,Moving and storage,moving-and-storage,moving-and-storage-dollies-skates-and-lifters.png,"Dollies, skates and lifters: Appliance trolley, Door lifter, and Furniture dolly in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Wrapping, covers and protection",wrapping-covers-and-protection,Moving and storage,moving-and-storage,moving-and-storage-wrapping-covers-and-protection.png,"Wrapping, covers and protection: Bubble wrap bundle, Corner foam pack, and Door frame protector set in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Ratchets, ropes and securing",ratchets-ropes-and-securing,Moving and storage,moving-and-storage,moving-and-storage-ratchets-ropes-and-securing.png,"Ratchets, ropes and securing: Bungee cord pack, Cam buckle strap set, and Cargo net in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Temporary storage and organisation,temporary-storage-and-organisation,Moving and storage,moving-and-storage,moving-and-storage-temporary-storage-and-organisation.png,"Temporary storage and organisation: Clear tote set, Folding storage cage, and Hanging garment rail in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Appliance moving and install helpers,appliance-moving-and-install-helpers,Moving and storage,moving-and-storage,moving-and-storage-appliance-moving-and-install-helpers.png,"Appliance moving and install helpers: Appliance roller bars, Appliance slider pads, and Door removal trolley in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Event and exhibition transport gear,event-and-exhibition-transport-gear,Moving and storage,moving-and-storage,moving-and-storage-event-and-exhibition-transport-gear.png,"Event and exhibition transport gear: Cable trunk case, Exhibition case trolley, and Fold-flat platform trolley in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Cleaning and handover kit,cleaning-and-handover-kit,Moving and storage,moving-and-storage,moving-and-storage-cleaning-and-handover-kit.png,"Cleaning and handover kit: Adhesive residue wheel, Dustpan contractor set, and End-of-tenancy cleaning kit in the moving and storage category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Outdoor and leisure,outdoor-and-leisure,,,outdoor-and-leisure.png,"Outdoor and leisure: Beach shelter, Beach trolley, and Beach wagon. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Gazebos, awnings and shade",gazebos-awnings-and-shade,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-gazebos-awnings-and-shade.png,"Gazebos, awnings and shade: Beach shelter, Camping awning, and Garden pergola in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Fire pits and outdoor heat,fire-pits-and-outdoor-heat,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-fire-pits-and-outdoor-heat.png,"Fire pits and outdoor heat: Chiminea, Fire bowl grill combo, and Fire pit in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Cool boxes and picnic kit,cool-boxes-and-picnic-kit,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-cool-boxes-and-picnic-kit.png,"Cool boxes and picnic kit: electric Camping cutlery bundle, Cool box, and Electric cool box in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Garden games and party play,garden-games-and-party-play,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-garden-games-and-party-play.png,"Garden games and party play: Boules set, Cornhole set, and Croquet set in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Hot tubs and celebration extras,hot-tubs-and-celebration-extras,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-hot-tubs-and-celebration-extras.png,"Hot tubs and celebration extras: Champagne wall, Confetti cannon stand, and Garden projector screen in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
BBQs and outdoor cooking,bbqs-and-outdoor-cooking,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-bbqs-and-outdoor-cooking.png,"BBQs and outdoor cooking: BBQ tool bundle, Camping cook station, and Charcoal BBQ in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Adventure and beach gear,adventure-and-beach-gear,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-adventure-and-beach-gear.png,"Adventure and beach gear: Beach shelter, Beach trolley, and Beach wagon in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Play equipment and family fun,play-equipment-and-family-fun,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-play-equipment-and-family-fun.png,"Play equipment and family fun: Ball game target wall, Climbing dome, and Garden slide in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Water play and pool gear,water-play-and-pool-gear,Outdoor and leisure,outdoor-and-leisure,outdoor-and-leisure-water-play-and-pool-gear.png,"Water play and pool gear: Chlorine floater kit, Floating drinks cooler, and Garden mist arch in the outdoor and leisure category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Home improvement,home-improvement,,,home-improvement.png,"Home improvement: electric Air mover fan, Dehumidifier, and Drain camera. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Carpet and floor cleaning,carpet-and-floor-cleaning,Home improvement,home-improvement,home-improvement-carpet-and-floor-cleaning.png,"Carpet and floor cleaning: Air mover fan, Commercial dehumidifier, and Fabric deodorising sprayer in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Upright carpet cleaners,upright-carpet-cleaners,Carpet and floor cleaning,carpet-and-floor-cleaning,carpet-and-floor-cleaning-upright-carpet-cleaners.png,"Upright carpet cleaners: electric Carpet brush agitator, Commercial carpet cleaner, and Dual-tank carpet washer in the carpet and floor cleaning category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Spot and upholstery cleaners,spot-and-upholstery-cleaners,Carpet and floor cleaning,carpet-and-floor-cleaning,carpet-and-floor-cleaning-spot-and-upholstery-cleaners.png,"Spot and upholstery cleaners: electric Car seat upholstery cleaner, Fabric drying fan, and Handheld stain remover in the carpet and floor cleaning category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Hard floor and extractor cleaners,hard-floor-and-extractor-cleaners,Carpet and floor cleaning,carpet-and-floor-cleaning,carpet-and-floor-cleaning-hard-floor-and-extractor-cleaners.png,"Hard floor and extractor cleaners: Commercial floor dryer, Hard floor scrubber, and Rotary floor polisher in the carpet and floor cleaning category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Drying, deodorising and restoration",drying-deodorising-and-restoration,Carpet and floor cleaning,carpet-and-floor-cleaning,carpet-and-floor-cleaning-drying-deodorising-and-restoration.png,"Drying, deodorising and restoration: Air mover fan, Commercial dehumidifier, and Fabric deodorising sprayer in the carpet and floor cleaning category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Decorating and painting,decorating-and-painting,Home improvement,home-improvement,home-improvement-decorating-and-painting.png,"Decorating and painting: Airless paint sprayer, Caulking gun set, and Detail spray gun in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Flooring and wallpaper tools,flooring-and-wallpaper-tools,Home improvement,home-improvement,home-improvement-flooring-and-wallpaper-tools.png,"Flooring and wallpaper tools: Carpet knee kicker, Carpet stretcher, and Floor roller in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Cleaning and restoration,cleaning-and-restoration,Home improvement,home-improvement,home-improvement-cleaning-and-restoration.png,"Cleaning and restoration: Air mover fan, Dehumidifier, and Drain camera in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Plumbing and drain tools,plumbing-and-drain-tools,Home improvement,home-improvement,home-improvement-plumbing-and-drain-tools.png,"Plumbing and drain tools: Drain auger, Drain rods, and PEX crimp tool in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
General access and ladders,general-access-and-ladders,Home improvement,home-improvement,home-improvement-general-access-and-ladders.png,"General access and ladders: Decorators platform, Extension ladder, and Ladder in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Electrical test and install tools,electrical-test-and-install-tools,Home improvement,home-improvement,home-improvement-electrical-test-and-install-tools.png,"Electrical test and install tools: Cable detector, Cable pull rods, and Conduit bender in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Windows, doors and glazing tools",windows-doors-and-glazing-tools,Home improvement,home-improvement,home-improvement-windows-doors-and-glazing-tools.png,"Windows, doors and glazing tools: Bead removal tool, Door lifter, and Door trimming stand in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Tiling and finishing tools,tiling-and-finishing-tools,Home improvement,home-improvement,home-improvement-tiling-and-finishing-tools.png,"Tiling and finishing tools: Corner finishing trowel, Grout float kit, and Jointing knife set in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Joinery installation tools,joinery-installation-tools,Home improvement,home-improvement,home-improvement-joinery-installation-tools.png,"Joinery installation tools: Cabinet clamp set, Cabinet lift jack, and Countertop seam setter in the home improvement category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
